text,label
is anarchism a coherent political philosophy,philosophy
what is the unconscious in philosophy of mind,philosophy
is happiness the highest good,philosophy
what is the meaning of death,philosophy
is suicide ever rational,philosophy
what is the philosophy of language,philosophy
is logic discovered or invented,philosophy
what is the no true Scotsman fallacy,philosophy
is moral realism defensible,philosophy
what is the Cartesian doubt,philosophy
is empathy a moral virtue,philosophy
what is solipsism,philosophy
is freedom of speech an absolute right,philosophy
what is the philosophy of mind,philosophy
is fictionalism a viable position in mathematics,philosophy
what is the difference between ethics and morality,philosophy
is hedonism a coherent worldview,philosophy
what is the principle of charity in argumentation,philosophy
is religious faith compatible with reason,philosophy
what is the meaning of suffering,philosophy
is moral luck a paradox,philosophy
what is the harm principle,philosophy
is universal grammar real,philosophy
what is the philosophy of science,philosophy
is the simulation hypothesis testable,philosophy
what is the principle of sufficient reason,philosophy
is anarchy preferable to authority,philosophy
what should I have for dinner tonight,general
how do I plan a trip to Japan,general
what is the best way to learn a language,general
how do I make pasta from scratch,general
what is the meaning of the song bohemian rhapsody,general
how do I improve my handwriting,general
what is the best book to start with for a new reader,general
how do I become more productive,general
what should I name my new puppy,general
how do I write a good resume,general
what is a fun weekend activity in Boston,general
how do I deal with stress,general
what is the best running shoe for beginners,general
how do I choose a college major,general
what is the difference between espresso and americano,general
how do I learn to play guitar,general
what is the best way to organize my closet,general
how do I plan a budget,general
what is the most popular video game of 2024,general
how do I take good photos of food,general
what is the longest river in the world,general
how do I build a habit of reading,general
what should I wear to a wedding,general
how do I sleep better at night,general
what is the population of New York City,general
how do I get better at chess,general
what is a good gift for a 40th birthday,general
how do I host a small dinner party,general
what is the difference between a novel and a novella,general
how do I write a thank you note,general
what is the best way to commute in San Francisco,general
how do I make a sourdough starter,general
what is the most spoken language in the world,general
how do I prepare for a job interview,general
what is the highest mountain on each continent,general
how do I keep houseplants alive,general
what is the time difference between Tokyo and Paris,general
how do I find a good therapist,general
what is the smallest country in the world,general
how do I plan a wedding,general
what is the best yoga pose for beginners,general
how do I learn to swim as an adult,general
what is the average lifespan of a cat,general
how do I take care of leather shoes,general
what is the largest desert,general
how do I start a vegetable garden,general
what is the difference between weather and climate informally,general
how do I improve my public speaking,general
what is the most watched film of all time,general
how do I keep a journal consistently,general
what is the best alarm clock app,general
how do I navigate a busy airport,general
what is the most popular pizza topping,general
how do I write a cover letter,general
what is the international phonetic alphabet,general
how do I get rid of a hiccup,general
what is the loudest natural sound on earth,general
how do I dance better at parties,general
what is the largest city by area,general
how do I improve my golf swing,general
