text,label
what is climate,economics
how does climate work,economics
explain climate,economics
what is change,economics
Anthropogenic climate change is the long-term shift in global temperature and weather patterns driven mainly by greenhouse gas emissions from burning fossil fue,economics
what is herd,medicine
how does herd work,medicine
explain herd,medicine
what is immunity,medicine
Herd immunity occurs when enough of a population is immune to a contagious disease that its transmission slows even among the unvaccinated,medicine
how does market work,economics
explain market,economics
what is equilibrium,economics
A market is in equilibrium when the quantity supplied equals the quantity demanded at the prevailing price,economics
Photosynthesis and cellular respiration are complementary processes that link the biosphere's carbon and oxygen cycles,biology
what is trolley,philosophy
why is trolley contested,philosophy
is trolley morally right,philosophy
what is problem,philosophy
what is capital,philosophy
why is capital contested,philosophy
is capital morally right,philosophy
what is punishment,philosophy
what is lying,philosophy
why is lying contested,philosophy
is lying morally right,philosophy
what is lie,philosophy
what is income,philosophy
why is income contested,philosophy
is income morally right,philosophy
what is inequality,philosophy
The libertarian view (Nozick) holds that a distribution is just if it arose through legitimate acquisition and voluntary exchange,philosophy
The egalitarian view (Rawls) argues that inequalities are justified only if they benefit the worst-off members of society,philosophy
what is ai,philosophy
why is ai contested,philosophy
is ai morally right,philosophy
what is artificial,philosophy
Functionalism holds that mental states are constituted by their causal-functional roles,philosophy
Substance dualism takes mind and body to be metaphysically distinct kinds,philosophy
what is free,philosophy
why is free contested,philosophy
is free morally right,philosophy
what is will,philosophy
Compatibilism holds that free will is consistent with determinism,philosophy
Hard determinists argue that if every event is determined by prior causes then no one could have done otherwise and the libertarian sense of free will is an ill,philosophy
Libertarian free will (in the metaphysical sense distinct from political libertarianism) maintains that agents can be the genuine ultimate source of at least so,philosophy
