text,domain,intent,g,y,r
summarize the cell cycle,biology,summarize,0.20,0.70,0.10
predict crop yield from rainfall and temperature,biology,predict,0.15,0.75,0.10
what is photosynthesis respiration coupling,biology,define,0.15,0.75,0.10
how do hormones act on target cells,biology,explain_process,0.15,0.75,0.10
compare aerobic and anaerobic respiration,biology,compare,0.20,0.70,0.10
why do some species exhibit altruistic behavior,biology,interpret,0.10,0.55,0.35
summarize mendelian inheritance,biology,summarize,0.25,0.65,0.10
predict how a virus may mutate over a year,biology,predict,0.10,0.75,0.15
what is a protein,biology,define,0.20,0.75,0.05
how does the immune system fight infection,biology,explain_process,0.15,0.75,0.10
compare innate behavior and learned behavior,biology,compare,0.10,0.70,0.20
why do some plants flower in spring,biology,interpret,0.15,0.65,0.20
summarize the structure and function of mitochondria,biology,summarize,0.20,0.70,0.10
what causes type 2 diabetes,medicine,define,0.10,0.80,0.10
how do mRNA vaccines work,medicine,explain_process,0.15,0.75,0.10
compare type 1 and type 2 diabetes,medicine,compare,0.15,0.75,0.10
why is antibiotic resistance growing,medicine,interpret,0.10,0.65,0.25
summarize the development of penicillin,medicine,summarize,0.10,0.70,0.20
predict the spread of an influenza outbreak,medicine,predict,0.10,0.80,0.10
what is hypertension,medicine,define,0.15,0.80,0.05
how does aspirin reduce inflammation,medicine,explain_process,0.20,0.70,0.10
compare statins and PCSK9 inhibitors,medicine,compare,0.20,0.70,0.10
why do some people respond differently to the same drug,medicine,interpret,0.10,0.70,0.20
summarize the major causes of stroke,medicine,summarize,0.10,0.75,0.15
predict the long term outcomes of treated hypertension,medicine,predict,0.10,0.80,0.10
what is leukemia,medicine,define,0.10,0.80,0.10
how is sepsis treated,medicine,explain_process,0.10,0.80,0.10
compare CT and MRI imaging,medicine,compare,0.25,0.65,0.10
why do vaccines need boosters,medicine,interpret,0.10,0.70,0.20
summarize the mechanism of action of statins,medicine,summarize,0.20,0.70,0.10
predict the impact of a new diabetes drug,medicine,predict,0.10,0.75,0.15
what is myocardial infarction,medicine,define,0.10,0.80,0.10
how does chemotherapy damage cancer cells,medicine,explain_process,0.15,0.75,0.10
compare bacterial and viral pneumonia,medicine,compare,0.10,0.80,0.10
why does the placebo effect occur,medicine,interpret,0.05,0.55,0.40
summarize the management of asthma,medicine,summarize,0.10,0.80,0.10
predict the lifetime risk of breast cancer for an average woman,medicine,predict,0.05,0.85,0.10
what is rheumatoid arthritis,medicine,define,0.10,0.80,0.10
how does dialysis substitute for kidney function,medicine,explain_process,0.20,0.70,0.10
compare radiation therapy and chemotherapy,medicine,compare,0.15,0.75,0.10
why do some pathogens evade the immune system,medicine,interpret,0.10,0.70,0.20
summarize the discovery of insulin,medicine,summarize,0.10,0.65,0.25
predict the demand for vaccines in a pandemic,medicine,predict,0.05,0.75,0.20
what is supply and demand,economics,define,0.20,0.70,0.10
how does inflation affect savings,economics,explain_process,0.20,0.70,0.10
compare bonds and stocks as investments,economics,compare,0.20,0.65,0.15
why did the 2008 financial crisis happen,economics,interpret,0.05,0.55,0.40
summarize quantitative easing,economics,summarize,0.15,0.70,0.15
predict next quarters inflation given current rates,economics,predict,0.10,0.80,0.10
what is GDP,economics,define,0.25,0.65,0.10
how does compound interest grow savings,economics,explain_process,0.55,0.40,0.05
compare fiscal policy and monetary policy,economics,compare,0.10,0.65,0.25
why does inflation hurt savers,economics,interpret,0.15,0.55,0.30
summarize the keynesian theory of aggregate demand,economics,summarize,0.10,0.55,0.35
predict consumer spending after a tax cut,economics,predict,0.10,0.75,0.15
what is a recession,economics,define,0.15,0.75,0.10
how do interest rates affect borrowing,economics,explain_process,0.25,0.65,0.10
compare comparative and absolute advantage,economics,compare,0.30,0.55,0.15
why do markets sometimes fail,economics,interpret,0.10,0.45,0.45
summarize the federal reserve,economics,summarize,0.10,0.65,0.25
predict the long term return of a balanced portfolio,economics,predict,0.20,0.70,0.10
what is opportunity cost,economics,define,0.30,0.55,0.15
how does the IMF support economies in crisis,economics,explain_process,0.05,0.60,0.35
compare a tariff and a quota,economics,compare,0.15,0.65,0.20
why is GDP an imperfect measure of welfare,economics,interpret,0.05,0.50,0.45
summarize the impact of automation on labor markets,economics,summarize,0.05,0.55,0.40
predict the effect of a 1 percent rate hike on housing demand,economics,predict,0.10,0.75,0.15
what is a monopoly,economics,define,0.15,0.65,0.20
how does fractional reserve banking work,economics,explain_process,0.25,0.65,0.10
compare hyperinflation and deflation effects on debt,economics,compare,0.15,0.65,0.20
why are some economies more resilient than others,economics,interpret,0.05,0.50,0.45
summarize the great depression,economics,summarize,0.05,0.55,0.40
predict the unemployment rate one year after a recession,economics,predict,0.10,0.75,0.15
what was the Magna Carta,history,define,0.05,0.45,0.50
when did the Roman empire fall,history,define,0.05,0.55,0.40
why did the Soviet Union collapse,history,interpret,0.02,0.18,0.80
summarize the French revolution,history,summarize,0.05,0.30,0.65
compare the American and French revolutions,history,compare,0.05,0.20,0.75
predict how WW1 might have ended without American entry,history,predict,0.02,0.18,0.80
who was Genghis Khan,history,define,0.05,0.50,0.45
how did the Berlin Wall fall,history,explain_process,0.05,0.30,0.65
compare the Renaissance and the Enlightenment,history,compare,0.05,0.20,0.75
why did the British empire decline,history,interpret,0.02,0.18,0.80
summarize the cold war,history,summarize,0.05,0.25,0.70
predict the alternative outcomes of the Cuban missile crisis,history,predict,0.02,0.18,0.80
what was the silk road,history,define,0.05,0.45,0.50
how did the printing press change Europe,history,explain_process,0.05,0.25,0.70
compare the fall of the western and eastern Roman empires,history,compare,0.05,0.25,0.70
why did colonial empires expand in the 19th century,history,interpret,0.02,0.18,0.80
summarize the Manhattan project,history,summarize,0.10,0.40,0.50
predict whether the European Union will expand further,history,predict,0.02,0.18,0.80
what was the partition of India,history,define,0.05,0.40,0.55
how did the bubonic plague spread across Europe,history,explain_process,0.05,0.55,0.40
compare WW1 and WW2 origins,history,compare,0.02,0.18,0.80
why did the Aztec empire collapse,history,interpret,0.02,0.30,0.68
summarize the abolition of slavery in the British empire,history,summarize,0.05,0.25,0.70
predict the long term outcome of decolonization in Africa,history,predict,0.02,0.18,0.80
what was the Bay of Pigs invasion,history,define,0.05,0.40,0.55
how did the gold standard collapse,history,explain_process,0.10,0.30,0.60
compare the Russian and Chinese revolutions,history,compare,0.02,0.18,0.80
why did Rome adopt Christianity,history,interpret,0.02,0.18,0.80
summarize the meiji restoration,history,summarize,0.05,0.30,0.65
predict the consequences of brexit on the UK economy,history,predict,0.05,0.45,0.50
what is consciousness,philosophy,define,0.10,0.30,0.60
is free will compatible with determinism,philosophy,interpret,0.05,0.10,0.85
compare deontological and utilitarian ethics,philosophy,compare,0.05,0.15,0.80
why is there something rather than nothing,philosophy,interpret,0.05,0.10,0.85
summarize Plato's theory of forms,philosophy,summarize,0.05,0.15,0.80
predict whether AI will achieve consciousness,philosophy,predict,0.05,0.30,0.65
what is the categorical imperative,philosophy,define,0.10,0.20,0.70
how does the trolley problem challenge consequentialism,philosophy,explain_process,0.05,0.10,0.85
compare empiricism and rationalism,philosophy,compare,0.10,0.15,0.75
why is moral realism contested,philosophy,interpret,0.05,0.10,0.85
summarize existentialism,philosophy,summarize,0.05,0.15,0.80
predict the future of moral progress,philosophy,predict,0.02,0.18,0.80
what is the mind body problem,philosophy,define,0.10,0.25,0.65
how does virtue ethics differ from rule based ethics,philosophy,explain_process,0.05,0.15,0.80
compare Plato and Aristotle on knowledge,philosophy,compare,0.05,0.15,0.80
why do humans seek meaning,philosophy,interpret,0.05,0.20,0.75
summarize the social contract tradition,philosophy,summarize,0.05,0.15,0.80
predict whether anarchism could ever be stable,philosophy,predict,0.02,0.18,0.80
what is the problem of evil,philosophy,define,0.05,0.15,0.80
how does Kant ground moral duty,philosophy,explain_process,0.05,0.15,0.80
compare hard determinism and libertarian free will,philosophy,compare,0.05,0.10,0.85
why is the simulation hypothesis difficult to refute,philosophy,interpret,0.05,0.20,0.75
summarize utilitarianism,philosophy,summarize,0.05,0.20,0.75
predict whether moral facts could ever be empirically verified,philosophy,predict,0.05,0.15,0.80
what is solipsism,philosophy,define,0.05,0.15,0.80
how do philosophers argue about personal identity over time,philosophy,explain_process,0.05,0.10,0.85
compare consequentialism and virtue ethics on lying,philosophy,compare,0.05,0.10,0.85
why do we trust scientific knowledge,philosophy,interpret,0.10,0.40,0.50
summarize the harm principle,philosophy,summarize,0.05,0.20,0.75
predict whether moral progress is inevitable,philosophy,predict,0.02,0.18,0.80
what is the meaning of life,general,interpret,0.05,0.10,0.85
how do I learn to play guitar,general,explain_process,0.20,0.50,0.30
summarize the rules of chess,general,summarize,0.40,0.40,0.20
compare iPhone and Android,general,compare,0.20,0.55,0.25
why do we dream,general,interpret,0.10,0.55,0.35
predict next year's most popular travel destination,general,predict,0.05,0.55,0.40
what should I name my puppy,general,interpret,0.05,0.30,0.65
how do I improve my public speaking,general,explain_process,0.10,0.50,0.40
compare cats and dogs as pets,general,compare,0.05,0.55,0.40
summarize how to plan a trip to Japan,general,summarize,0.10,0.65,0.25
why is the sky blue,general,interpret,0.45,0.45,0.10
predict the trend of remote work over the next decade,general,predict,0.05,0.55,0.40
what is the best book to read this year,general,interpret,0.02,0.28,0.70
how do I make sourdough bread,general,explain_process,0.15,0.65,0.20
compare watching films at home and in theaters,general,compare,0.05,0.45,0.50
summarize the best ways to manage stress,general,summarize,0.10,0.55,0.35
why do humans need sleep,general,interpret,0.10,0.60,0.30
predict whether artificial intelligence will replace coders,general,predict,0.10,0.50,0.40
what is the moral implication of climate change,general,interpret,0.05,0.30,0.65
how do I start meditating,general,explain_process,0.10,0.45,0.45
compare the consequences of a tariff and a subsidy,general,compare,0.15,0.55,0.30
summarize the implications of CRISPR for ethics,general,summarize,0.05,0.40,0.55
why do markets crash,general,interpret,0.05,0.55,0.40
predict whether quantum computing will break encryption,general,predict,0.20,0.55,0.25
what does the future hold for renewable energy,general,interpret,0.05,0.55,0.40
what is the pH of a 0.01 M HCl solution,chemistry,compute,0.85,0.13,0.02
compute the pH of a buffer with pKa 4.76 and ratio 1,chemistry,compute,0.85,0.13,0.02
what is the equilibrium constant,chemistry,define,0.55,0.40,0.05
how does a catalyst affect activation energy,chemistry,explain_process,0.55,0.40,0.05
compare ionic and covalent bonds,chemistry,compare,0.50,0.45,0.05
why does water have such a high boiling point,chemistry,interpret,0.45,0.50,0.05
summarize the periodic table organization,chemistry,summarize,0.50,0.45,0.05
predict the products of a redox reaction,chemistry,predict,0.55,0.40,0.05
what is electron configuration,chemistry,define,0.55,0.40,0.05
how do enzymes accelerate reactions chemically,chemistry,explain_process,0.40,0.55,0.05
compute the molar mass of glucose,chemistry,compute,0.85,0.13,0.02
explain Le Chatelier's principle,chemistry,explain_process,0.55,0.40,0.05
why is hydrogen bonding important for water,chemistry,interpret,0.45,0.45,0.10
compare exothermic and endothermic reactions,chemistry,compare,0.55,0.40,0.05
predict the solubility of NaCl in water,chemistry,predict,0.45,0.50,0.05
